State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
CT,ANSONIA POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",2,Each,$335.00 ,D,1,7/13/2012 0:00
CT,ANSONIA POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$89,900.00 ",C,1,4/4/2012 0:00
CT,BEACON FALLS POLICE,1005-01-465-5080,"BUTTSTOCK,SUBASSEMBLY",5,Each,$43.68 ,B,3,12/10/2014 0:00
CT,BEACON FALLS POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,5/10/1999 0:00
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",9,Each,$54.77 ,D,1,9/3/2015 0:00
CT,BEACON FALLS POLICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",9,Each,$41.71 ,D,1,10/22/2015 0:00
CT,BEACON FALLS POLICE,4710-01-233-8637,"TUBE,BENT,METALLIC",6,Each,$8.34 ,D,1,11/10/2015 0:00
CT,BEACON FALLS POLICE,1005-01-233-8530,"PLATE,RECEIVER END ",7,Each,$2.71 ,D,1,5/5/2016 0:00
CT,BEACON FALLS POLICE,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,9,Each,$115.00 ,D,1,10/21/2015 0:00
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,4/5/1999 0:00
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",4,Each,$335.00 ,D,1,2/15/2017 0:00
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$54.77 ,D,1,5/15/2013 0:00
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$54.77 ,D,1,5/15/2013 0:00
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$54.77 ,D,1,5/15/2013 0:00
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$10.87 ,D,1,5/15/2013 0:00
CT,BEACON FALLS POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,5/10/1999 0:00
