State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
FL,ALACHUA COUNTY SHERIFF OFFICE,1615-01-086-0153,"TRUNNION,MAIN ROTOR",1,Each,"$1,084.77 ",B,3,2/7/2014 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,"$92,290.00 ",C,1,9/14/2016 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,3040-00-127-3093,BELL CRANK,2,Each,"$1,056.69 ",B,3,4/22/2010 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,4220-DS-MAR-LIFD,MARINE LIFESAVING AND DIVING EQUIPMENT,125,Each,$0.10 ,A,,4/12/2018 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,"$92,290.00 ",C,1,5/20/2008 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/26/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
FL,ALACHUA COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/23/2007 0:00
