State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
GA,ABBEVILLE POLICE DEPT,6720-01-537-9442,"CAMERA,WEB         ",10,Each,$30.00 ,A,1,1/4/2018 0:00
GA,ABBEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,6/3/1997 0:00
GA,ABBEVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/3/1998 0:00
GA,ABBEVILLE POLICE DEPT,6115-01-606-8160,"GENERATOR SET,DIESEL ENGINE",1,Each,"$6,231.66 ",A,1,9/20/2017 0:00
GA,ABBEVILLE POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,3/15/2011 0:00
GA,ABBEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,6/3/1997 0:00
GA,ABBEVILLE POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00 ",Q,6,10/27/2015 0:00
GA,ABBEVILLE POLICE DEPT,5855-01-627-7123,"SIGHT,THERMAL",2,Each,"$14,482.00 ",D,1,10/21/2015 0:00
GA,ABBEVILLE POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",4,Each,$508.76 ,D,1,7/14/2016 0:00
GA,ABBEVILLE POLICE DEPT,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",1,Each,"$15,735.00 ",D,,12/9/2016 0:00
GA,ABBEVILLE POLICE DEPT,2320-01-316-1030,"TRUCK,DUMP",1,Each,"$63,087.00 ",A,7,11/6/2017 0:00
GA,ABBEVILLE POLICE DEPT,2320-00-580-2954,"TRUCK,CARGO",1,Each,"$29,097.00 ",A,1,12/12/2017 0:00
GA,ABBEVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/3/1998 0:00
GA,ABBEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$335.00 ,D,1,4/23/2015 0:00
GA,ACWORTH POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00 ",C,1,4/7/2015 0:00
