State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00 ",C,1,9/13/2013 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,2355-DS-COM-BTV2,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,1,Each,"$195,650.00 ",D,,2/28/2011 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/14/2000 0:00
ID,ASHTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00 ",C,1,4/2/2015 0:00
ID,ASHTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,9/27/2011 0:00
ID,ASHTON POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,2/20/2015 0:00
ID,ASHTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,9/27/2011 0:00
ID,ASHTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,9/27/2011 0:00
ID,ASHTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,9/27/2011 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7010-DS-LAP-TOPS,COMPUTER SYSTEMS LAPTOP,15,Each,"$1,698.56 ",A,,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5140-DS-CAB-INE0,"CABINET, TOOL",1,Each,$25.00 ,A,,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,1/11/2012 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8465-01-525-0606,"POUCH,M4 TWO MAG   ",8,Each,$4.77 ,A,1,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-921-5004,"MAGAZINE,CARTRIDGE",80,Each,$13.69 ,D,1,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,1/11/2012 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5120-DS-TOR-QUEW,TORQUEWRENCH,1,Each,$100.00 ,A,,5/9/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5180-01-447-2200,"TOOL KIT,CARPENTERS",1,Kit,"$3,025.68 ",A,1,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7110-DS-CAB-INE5,"CABINET, OFFICE",2,Each,$50.00 ,A,,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,2010-DS-OUT-MOTO,OUTBOARD MOTOR,4,Each,$100.00 ,A,,5/4/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,1/11/2012 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,1/11/2012 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5130-DS-DRI-LL02,"DRILL, POWER",2,Each,$119.00 ,A,,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5180-00-357-7770,"TOOL KIT,REPAIRMANS,SMALL ARMS",1,Kit,"$1,809.00 ",A,1,4/26/2018 0:00
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5130-DS-TOO-L000,"HAND TOOLS, POWER DRIVEN",1,Each,$300.00 ,A,,4/26/2018 0:00
