State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
IA,ALGONA POLICE DEPARTMENT,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00 ",F,1,6/2/1998 0:00
IA,AMES POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/21/2010 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,5/8/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,5/8/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,5/8/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00 ,D,1,5/2/1996 0:00
IA,AMES POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/21/2010 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/18/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/21/2010 0:00
IA,AMES POLICE DEPT,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00 ,D,1,5/2/1996 0:00
IA,AMES POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/21/2010 0:00
IA,AMES POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/21/2010 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/18/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/26/2005 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,5/8/1996 0:00
IA,AMES POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/18/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/21/2010 0:00
IA,AMES POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/18/1996 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/25/2005 0:00
IA,AMES POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/26/2005 0:00
IA,APPANOOSE COUNTY SHERIFF DEPT,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00 ",F,1,6/2/1998 0:00
IA,ATLANTIC POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/19/1999 0:00
IA,ATLANTIC POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/19/1999 0:00
IA,ATLANTIC POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/19/1999 0:00
IA,ATLANTIC POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/19/1999 0:00
IA,BETTENDORF POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/13/1995 0:00
IA,BETTENDORF POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/13/1995 0:00
IA,BLACK HAWK COUNTY SHERIFF OFFICE,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00 ",C,1,5/12/2014 0:00
IA,BLOOMFIELD POLICE DEPARTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,6/15/1999 0:00
IA,BLOOMFIELD POLICE DEPARTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,6/15/1999 0:00
IA,BLOOMFIELD POLICE DEPARTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,6/15/1999 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/12/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/21/1998 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,10/21/1998 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,8/13/2002 0:00
IA,BOONE COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/12/2002 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,1005-00-937-3078,BUFFER ASSEMBLY    ,1,Each,$15.57 ,D,1,3/31/2012 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,1005-01-135-3697,"APERTURE,SIGHT",1,Each,$8.00 ,D,1,4/14/2012 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,1005-00-978-1022,"COVER,EJECTION PORT ASSEMBLY",1,Each,$5.59 ,D,1,4/14/2012 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,1005-01-505-1035,"BOLT,BREECH",1,Each,$62.38 ,D,1,3/31/2012 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,1005-01-134-3701,"RECEIVER,UPPER     ",1,Each,$91.81 ,D,1,4/6/2012 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,1005-01-134-3701,"RECEIVER,UPPER     ",1,Each,$91.81 ,D,1,4/6/2012 0:00
IA,BUENA VISTA COUNTY SHERIFF OFFICE,4220-01-461-8682,"COVER,FLOTATION DE ",10,Each,$246.31 ,B,3,1/29/2012 0:00
