State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,7/6/1998 0:00
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",7,Each,$508.76 ,D,1,11/16/2016 0:00
KY,ALEXANDRIA POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/9/2017 0:00
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,10/20/1993 0:00
KY,ALEXANDRIA POLICE DEPT,2355-01-562-6146,MINE RESISTANT VEHICLE,1,Each,"$689,000.00 ",C,1,6/23/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,7/6/1998 0:00
KY,ALEXANDRIA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,9/7/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,7/6/1998 0:00
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$508.76 ,D,1,11/16/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$508.76 ,D,1,11/16/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$508.76 ,D,1,11/16/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$508.76 ,D,1,11/16/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$508.76 ,D,1,11/16/2016 0:00
KY,ALEXANDRIA POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/14/2016 0:00
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,7/10/2012 0:00
KY,ALEXANDRIA POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/9/2017 0:00
