State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
MT,ANACONDA DEER LODGE CTY POLICE DEPT,2320-00-072-1450,"TRUCK,LUBRICATING AND FUEL SERVICING",1,Each,"$90,535.00 ",Q,3,11/12/2010 0:00
MT,BAKER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/16/1997 0:00
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,3/29/2004 0:00
MT,BAKER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,10/9/1997 0:00
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,3/29/2004 0:00
MT,BAKER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/16/1997 0:00
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,3/29/2004 0:00
MT,BAKER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,10/9/1997 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,11/3/1993 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,11/3/1993 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,4/4/2005 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,11/3/1993 0:00
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,11/3/1993 0:00
