State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/10/2002 0:00
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/10/2002 0:00
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/10/2002 0:00
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/10/2002 0:00
NH,ALTON POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,4/20/2012 0:00
NH,ASHLAND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/12/2009 0:00
NH,ASHLAND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/12/2009 0:00
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/11/2002 0:00
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/11/2002 0:00
NH,BARNSTEAD POLICE DEPT,6910-01-586-0678,"TRAINING AID,SMALL ARMS WEAPON",3,Each,$45.95 ,C,1,7/7/2015 0:00
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/11/2002 0:00
NH,BARNSTEAD POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00 ",C,1,2/6/2013 0:00
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/11/2002 0:00
NH,BARNSTEAD POLICE DEPT,5965-01-453-2684,HEADSET-MICROPHONE,4,Each,"$1,022.00 ",B,3,6/17/2015 0:00
NH,BARNSTEAD POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,9/24/2012 0:00
NH,BELKNAP COUNTY SHERIFF DEPT,2320-01-107-7156,"TRUCK,UTILITY",1,Each,"$43,376.00 ",Q,6,5/10/2013 0:00
NH,BERLIN POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$89,900.00 ",C,1,1/2/2013 0:00
NH,BOSCAWEN POLICE DEPT,2340-01-513-5988,ALL TERRAIN VEHICLE WHEELED,1,Each,"$13,258.82 ",A,1,8/2/2017 0:00
NH,BOSCAWEN POLICE DEPT,8140-00-960-1699,"CHEST,AMMUNITION",49,Each,$11.10 ,A,1,7/26/2017 0:00
NH,BOSCAWEN POLICE DEPT,3930-01-178-0954,"TRUCK,LIFT,FORK",1,Each,"$21,313.29 ",A,1,2/14/2018 0:00
NH,BOSCAWEN POLICE DEPT,8140-00-960-1699,"CHEST,AMMUNITION",20,Each,$11.10 ,A,1,7/26/2017 0:00
NH,BOSCAWEN POLICE DEPT,6115-01-319-9032,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,"$17,730.00 ",A,7,9/7/2017 0:00
NH,BOSCAWEN POLICE DEPT,6115-01-274-7389,"GENERATOR SET,DIESEL ENGINE",1,Each,"$26,705.20 ",A,1,2/22/2018 0:00
NH,BOSCAWEN POLICE DEPT,4120-01-449-0459,AIR CONDITIONER,1,Each,"$10,825.84 ",A,1,2/22/2018 0:00
NH,BOSCAWEN POLICE DEPT,2340-01-420-2816,"UTILITY VEHICLE,4WD",1,Each,"$9,831.07 ",A,1,8/2/2017 0:00
NH,BOSCAWEN POLICE DEPT,6115-01-413-3818,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,"$25,757.00 ",A,7,5/31/2018 0:00
NH,BOSCAWEN POLICE DEPT,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",1,Each,$0.00 ,A,,8/24/2017 0:00
NH,BOSCAWEN POLICE DEPT,6115-01-413-3818,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,"$25,757.00 ",A,7,5/31/2018 0:00
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,4/16/2012 0:00
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$335.00 ,D,1,11/23/2016 0:00
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,4/16/2012 0:00
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/27/1998 0:00
NH,BOSCAWEN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/16/2012 0:00
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$335.00 ,D,1,11/23/2016 0:00
NH,BOSCAWEN POLICE DEPT,2320-01-107-7156,"TRUCK,UTILITY",1,Each,"$43,376.00 ",Q,6,3/1/2017 0:00
NH,BOSCAWEN POLICE DEPT,5140-DS-TOO-LBOX,TOOLBOX,1,Each,$100.00 ,A,,4/25/2018 0:00
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/27/1998 0:00
