State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
OR,BAKER CTY SHERIFF DEPT,8415-01-585-4690,"SUIT,CHEMICAL PROTECTIVE",12,Each,$314.16 ,Q,3,10/28/2014 0:00
OR,BAKER CTY SHERIFF DEPT,6650-00-530-0960,"TELESCOPE,STRAIGHT",10,Each,$442.00 ,D,1,11/7/2017 0:00
OR,BAKER CTY SHERIFF DEPT,8340-01-537-8710,TENT,1,Each,"$229,202.26 ",A,1,9/29/2017 0:00
OR,BAKER CTY SHERIFF DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,"$658,000.00 ",C,1,9/10/2013 0:00
OR,BAKER CTY SHERIFF DEPT,6310-DS-TRA-FFIC,TRAFFIC AND TRANSIT SIGNAL SYSTEMS,25,Each,"$2,000.00 ",A,,11/7/2017 0:00
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,4,Each,$278.05 ,D,1,12/17/2013 0:00
OR,BAKER CTY SHERIFF DEPT,5855-01-501-9529,"VIEWER,NIGHT VISION",7,Each,"$10,427.10 ",C,1,2/28/2007 0:00
OR,BAKER CTY SHERIFF DEPT,2320-01-354-3384,"TRUCK,VAN",1,Each,"$124,607.00 ",Q,6,8/18/2017 0:00
OR,BAKER CTY SHERIFF DEPT,2510-01-555-4876,"WINDOW,VEHICULAR",1,Each,"$3,938.18 ",D,1,11/26/2013 0:00
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,6,Each,$278.05 ,D,1,12/17/2013 0:00
OR,BAKER CTY SHERIFF DEPT,5855-01-333-9606,"LIGHT AIMING KIT,INFRARED",12,Each,$545.69 ,C,1,8/16/2006 0:00
OR,BAKER CTY SHERIFF DEPT,5855-01-448-5464,"ILLUMINATOR,INFRARED",15,Each,$359.00 ,C,1,11/24/2007 0:00
OR,BAKER CTY SHERIFF DEPT,5855-01-465-2170,"ILLUMINATOR,INFRARED",1,Each,"$8,698.97 ",C,1,1/29/2006 0:00
