State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
VT,BARRE CITY POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,10/29/2012 0:00
VT,BARRE CITY POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00 ",C,1,10/29/2012 0:00
VT,BENNINGTON POLICE DEPARTMENT,2320-01-371-9584,"TRUCK,UTILITY",1,Each,"$62,627.00 ",C,1,12/20/2011 0:00
VT,CHITTENDEN COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,3/21/2000 0:00
VT,CHITTENDEN COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/19/2004 0:00
VT,CHITTENDEN COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/19/2004 0:00
VT,CHITTENDEN COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,3/21/2000 0:00
VT,CHITTENDEN COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/19/2004 0:00
VT,CHITTENDEN COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/19/2004 0:00
VT,COLCHESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/23/2004 0:00
VT,COLCHESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/23/2004 0:00
VT,COLCHESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/23/2004 0:00
VT,COLCHESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/23/2004 0:00
VT,COLCHESTER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/22/2000 0:00
VT,COLCHESTER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/19/2000 0:00
VT,COLCHESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/23/2004 0:00
VT,COLCHESTER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/23/2004 0:00
VT,ESSEX COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/22/2000 0:00
VT,ESSEX COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/22/2000 0:00
VT,ESSEX COUNTY SHERIFF DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00 ",C,1,1/31/2012 0:00
VT,HARTFORD POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$335.00 ,D,1,8/17/2012 0:00
VT,HARTFORD POLICE DEPT,5855-01-533-0555,"ILLUMINATOR,INFRARED",3,Each,"$1,800.00 ",D,1,2/11/2014 0:00
VT,HARTFORD POLICE DEPT,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,7,Each,$115.00 ,D,1,10/17/2017 0:00
VT,HARTFORD POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",16,Each,$335.00 ,D,1,12/22/2015 0:00
VT,HARTFORD POLICE DEPT,5855-01-533-0555,"ILLUMINATOR,INFRARED",20,Each,"$1,800.00 ",D,1,10/13/2017 0:00
VT,HARTFORD POLICE DEPT,1005-01-452-3527,"ADAPTER RAIL,WEAPON MOUNTED,M4",23,Each,$78.34 ,D,7,10/13/2017 0:00
VT,HARTFORD POLICE DEPT,5855-01-509-6871,"SIGHT,UNS,AN,PVS22 ",1,Each,"$8,100.00 ",D,7,2/25/2014 0:00
VT,HARTFORD POLICE DEPT,1005-01-544-9825,"BUTTSTOCK,SUBASSEMBLY",15,Each,$37.77 ,D,1,12/3/2015 0:00
VT,HARTFORD POLICE DEPT,1240-01-575-1105,"RANGE FINDER,LASER",2,Each,"$7,974.00 ",D,7,2/5/2014 0:00
VT,HARTFORD POLICE DEPT,5855-01-509-6871,"SIGHT,UNS,AN,PVS22 ",1,Each,"$8,100.00 ",D,7,2/25/2014 0:00
VT,HARTFORD POLICE DEPT,1240-01-499-3547,BINOCULAR,12,Each,$363.00 ,F,1,3/27/2014 0:00
VT,HARTFORD POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",4,Each,$335.00 ,D,1,3/2/2012 0:00
VT,HARTFORD POLICE DEPT,6650-01-504-8456,"SPOTTING INSTRUMENT,OPTICAL",1,Each,"$1,213.00 ",D,7,7/2/2012 0:00
VT,LAMOILLE COUNTY SHERIFF DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00 ",C,1,2/26/2013 0:00
VT,LAMOILLE COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,2/26/2013 0:00
VT,MANCHESTER POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,10/29/2012 0:00
VT,MANCHESTER POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00 ",Q,6,2/22/2013 0:00
VT,MIDDLEBURY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,10/25/2001 0:00
VT,MIDDLEBURY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,10/25/2001 0:00
VT,MIDDLEBURY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,5/22/2000 0:00
VT,NORWICH POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/25/2004 0:00
VT,NORWICH POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/2002 0:00
VT,NORWICH POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/2002 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00 ,D,1,4/13/2015 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,$41.71 ,D,1,4/20/2015 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-01-452-6771,"ADAPTER RAIL,WEAPON MOUNTED,M5",8,Each,$102.13 ,B,3,8/8/2014 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,3,Each,$115.00 ,D,1,5/27/2014 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,$41.71 ,D,1,8/20/2014 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1240-01-411-6350,"TELESCOPE,STRAIGHT",3,Each,$823.00 ,F,7,6/3/2014 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,$41.71 ,D,1,6/30/2014 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",5,Each,$335.00 ,D,1,6/30/2014 0:00
VT,ORANGE COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,3/21/2000 0:00
