State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/22/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/9/2006 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/9/2006 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/9/2006 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/9/2006 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/9/2006 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/22/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/9/2006 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",12,Each,"$1,059.00 ",D,1,3/29/2018 0:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00 ",D,1,11/3/2017 0:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00 ",D,1,11/3/2017 0:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00 ",D,1,11/3/2017 0:00
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00 ",D,1,11/3/2017 0:00
WA,ABERDEEN POLICE DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,"$1,090.00 ",D,1,3/25/2015 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,1240-01-490-7308,"SIGHT,REFLEX",15,Each,"$1,170.55 ",D,1,4/30/2013 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/22/1998 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/4/1998 0:00
WA,ABERDEEN POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00 ",C,1,5/13/2014 0:00
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/22/1998 0:00
WA,ADAMS COUNTY SHERIFF DEPT,4130-01-482-5062,VACU-TOTE STORAGE  ,4,Each,$76.53 ,A,1,6/12/2018 0:00
WA,ADAMS COUNTY SHERIFF DEPT,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",10,Each,"$1,059.00 ",D,1,3/29/2018 0:00
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/19/2002 0:00
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/3/2003 0:00
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,12/3/2003 0:00
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,8/19/2002 0:00
WA,ADAMS COUNTY SHERIFF DEPT,1240-01-559-3017,"RANGE FINDER,LASER",16,Each,$749.00 ,Q,3,2/9/2016 0:00
WA,ADAMS COUNTY SHERIFF DEPT,5450-DS-MSC-PREF,MISCELLANEOUS PREFABRICATED STRUCTURES,1,Each,"$5,650.00 ",A,,9/8/2017 0:00
WA,ADAMS COUNTY SHERIFF DEPT,4130-01-482-5062,VACU-TOTE STORAGE  ,4,Each,$76.53 ,A,1,6/12/2018 0:00
WA,ADAMS COUNTY SHERIFF DEPT,4130-01-482-5062,VACU-TOTE STORAGE  ,4,Each,$76.53 ,A,1,6/12/2018 0:00
