State,department,NSN,item,Quantity,UI,cost,DEMIL Code,DEMIL IC,Ship Date
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,8/21/2001 0:00
WI,ALTOONA POLICE DEPT,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00 ,D,1,1/20/2004 0:00
WI,ALTOONA POLICE DEPT,2320-01-576-2510,"TRUCK,CARRYALL",1,Each,"$16,500.00 ",A,1,1/16/2018 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,9/9/2008 0:00
WI,ALTOONA POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,11/12/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,9/9/2008 0:00
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$72.10 ,D,1,3/19/2009 0:00
WI,ALTOONA POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00 ,D,1,9/18/2017 0:00
WI,ALTOONA POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00 ,D,1,9/18/2017 0:00
WI,ALTOONA POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,11/12/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$72.10 ,D,1,3/19/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$72.10 ,D,1,3/19/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$72.10 ,D,1,3/19/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$72.10 ,D,1,3/19/2009 0:00
WI,ALTOONA POLICE DEPT,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,Each,"$1,000.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,Each,"$1,000.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,Each,"$1,000.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-TRA-INE1,TRAINER,1,Each,"$1,000.00 ",A,,5/8/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-BIC-YCEE,"BICYCLE, EXERCISE",1,Each,$0.00 ,A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-LEG-CURL,LEG CURL,1,Each,"$2,031.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-LEG-CURL,LEG CURL,1,Each,"$2,031.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-PRE-SS00,BENCH PRESS,1,Each,"$1,359.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,Each,"$1,000.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,Each,"$1,000.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,Each,"$1,000.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,3930-DS-FOR-KLIF,FORKLIFT,1,Each,"$13,401.00 ",A,,5/2/2018 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ALTOONA POLICE DEPT,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$72.10 ,D,1,3/19/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,11/12/2009 0:00
WI,ALTOONA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/15/2012 0:00
WI,ANTIGO POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/17/2006 0:00
WI,ANTIGO POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/26/2002 0:00
WI,ANTIGO POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/26/2002 0:00
WI,ANTIGO POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/17/2006 0:00
WI,ANTIGO POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,2/17/2006 0:00
WI,ANTIGO POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00 ,D,1,4/26/2002 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,6130-01-555-4760,"INVERTER,ELECTRICAL",1,Each,"$4,968.76 ",B,3,12/7/2014 0:00
WI,APPLETON POLICE DEPT,5930-01-292-6730,"COVER,ELECTRICAL SWITCH",3,Each,$1.99 ,Q,3,12/29/2014 0:00
WI,APPLETON POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00 ",C,1,2/13/2014 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,1/12/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/18/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/18/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/18/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/18/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/18/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00 ",D,1,11/18/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,12/21/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-577-7174,"ILLUMINATOR,INFRARED",30,Each,$838.00 ,D,1,4/13/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,12/21/2016 0:00
WI,APPLETON POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00 ",D,1,12/21/2016 0:00
WI,APPLETON POLICE DEPT,1005-01-544-9825,"BUTTSTOCK,SUBASSEMBLY",19,Each,$37.77 ,D,1,4/27/2017 0:00
WI,APPLETON POLICE DEPT,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",40,Each,$838.00 ,D,1,4/15/2016 0:00
WI,ARCADIA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/30/2005 0:00
WI,ARCADIA POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",12,Each,$335.00 ,D,1,8/30/2010 0:00
WI,ARCADIA POLICE DEPT,5825-01-443-5417,"NAVIGATION SET,SATELLITE SIGNALS",1,Each,$600.00 ,D,1,8/30/2010 0:00
WI,ARCADIA POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/25/2011 0:00
WI,ARCADIA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,12/26/2007 0:00
WI,ARCADIA POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00 ,D,1,5/25/2011 0:00
WI,ARCADIA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,12/26/2007 0:00
WI,ARCADIA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,12/26/2007 0:00
WI,ARCADIA POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71 ,D,1,12/26/2007 0:00
WI,ARCADIA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00 ,D,1,11/30/2005 0:00
